  1 5 6
  1 6 10
  1 2 10
  1 2 9
  1 5 9
  2 8 10
  2 7 8
  2 7 9
  3 4 12
  3 6 12
  3 5 6
  3 5 11
  3 4 11
  4 7 8
  4 8 12
  4 7 11
  5 9 11
  6 10 12
  7 9 11
  8 10 12
